ADDRESS,YEAR BUILT, SALE PRICE 
339 CORNELIA STREET,1901,"3,800,000"
"710 KNICKERBOCKER AVENUE, 4",1905,"808,000"
314 CORNELIA STREET,1901,0
326 CORNELIA STREET,1901,0
727 KNICKERBOCKER AVENUE,1906,"2,360,000"
"1327 HANCOCK STREET, 6",1907,"995,000"
1238 HANCOCK STREET,2022,"4,020,000"
496 WILSON AVENUE,2022,0
"1334 HANCOCK STREET, 6",1906,"995,000"
1342 HANCOCK STREET,1906,"995,000"
349 COVERT STREET,1912,0
71 SCHAEFER STREET,1910,0
185 SCHAEFER STREET,2017,0
"315 SCHAEFER STREET, 6",1906,"1,060,000"
"230 SCHAEFER STREET, 6",1910,"3,175"
1370 DECATUR STREET,1926,0
135 MOFFAT STREET,1910,0
188 COOPER STREET,2018,0
306 COOPER STREET,1906,0
224 MOFFAT STREET,1911,"1,142,484"
230 MOFFAT STREET,1911,"592,355"
37 ABERDEEN STREET,1905,0
37 ABERDEEN STREET,1905,"3,560,000"
91 DE SALES PLACE,1905,0
75 STEWART ST,1905,"750,000"
1357 DEKALB AVENUE,2019,"3,500,000"
1355 DEKALB AVENUE,2019,"3,500,000"
1351 DEKALB AVENUE,2019,"3,500,000"
23 BLEECKER STREET,2013,0
1010 BUSHWICK AVENUE,2018,"1,000"
160 BLEECKER STREET,1931,"592,355"
113-115 LINDEN STREET,1931,"592,355"
109-111 LINDEN STREET,1931,"592,355"
"101 LINDEN STREET, 2A",1931,"420,000"
"101 LINDEN STREET, 3B",1931,"400,000"
"101 LINDEN STREET, 4A",1931,"505,000"
"1095 BUSHWICK AVE, 3C",1931,"350,000"
"1091 BUSHWICK AVENUE, 1B",1931,"240,000"
"246 CORNELIA STREET, B4",1928,"350,000"
"16 MELROSE STREET, 4R",2019,"609,932"
"511 EVERGREEN AVENUE, 3B",2019,"495,000"
"1066 JEFFERSON AVENUE, 1A",2020,"675,000"
"1066 JEFFERSON AVENUE, 2A",2020,"367,500"
"1066 JEFFERSON AVENUE, 2B",2020,"538,000"
"1066 JEFFERSON AVENUE, 3A",2020,"335,000"
"1066 JEFFERSON AVENUE, S1",2020,"538,000"
"1066 JEFFERSON AVENUE, S3",2020,"335,000"
"318 KNICKERBOCKER AVE, 2D",1899,"750,000"
"318 KNICKERBOCKER AVENUE, 3F",1899,"782,500"
"318 KNICKERBOCKER AVENUE, 4M",1899,"999,000"
"782 HART STREET, 3B",2012,0
"511 EVERGREEN AVENUE, 4B",2019,0
"511 EVERGREEN AVENUE, 4B",2019,"499,000"
"511 EVERGREEN AVENUE, 4F",2019,"533,000"
"1255 BUSHWICK AVENUE, 4A",2017,"435,000"
"68 ELDERT STREET, 3C",1916,"575,000"
"282 ELDERT STREET, 4B",2018,0
"282 ELDERT STREET, 5B",2018,0
"301 COVERT STREET, 2C",2017,"535,000"
16 WILSON AVE,1931,"2,250,000"
105 WILSON AVENUE,1931,"2,750,000"
58 IRVING AVENUE,1931,"2,600,000"
242 KNICKERBOCKER AVENUE,1931,"2,300,000"
153 WILSON AVENUE,1931,"2,350,000"
300 KNICKERBOCKER AVENUE,1931,0
318 EVERGREEN AVENUE,1931,0
1269 BROADWAY,1931,"1,530,000"
222 PALMETTO STREET,1931,"1,550,000"
591 KNICKERBOCKER AVENUE,1931,0
1286 MADISON STREET,1910,0
1195 BUSHWICK AVENUE,1905,"1,029,720"
1199 HALSEY STREET,1906,"1,325,000"
555 WILSON AVENUE,1905,10
"560 WILSON AVENUE, 4",1912,0
566 WILSON AVENUE,1912,"1,400,000"
"614 WILSON AVENUE, 6",1906,"1,925,000"
109 MOFFAT STREET,1920,"1,690,000"
1413 BUSHWICK AVENUE,1906,"2,425,000"
"24 FAYETTE STREET, 3B",2020,"550,000"
"24 FAYETTE STREET, 4B",2020,"605,000"
"24 FAYETTE STREET, PH",2020,"1,050,000"
"46 WILSON AVENUE, 1",2012,"1,250,000"
"46 WILSON AVENUE, 4",2012,"856,312"
"289 TROUTMAN STREET, 2B",,"775,000"
"539 HART ST, 4A",1920,"1,100,000"
"1257 DEKALB AVENUE, 3",2016,"999,000"
"1273 DEKALB AVENUE, 1",2017,"815,000"
"1269 DEKALB AVENUE, 3A",2020,"640,000"
"1276 DEKALB AVENUE, 1B",2014,"865,000"
"1276 DEKALB AVENUE, 3A",2014,"540,000"
"267 EVERGREEN AVENUE, 3A",2018,"999,000"
"46 KOSSUTH PLACE, 1A",1899,"999,000"
"46 KOSSUTH PLACE, 1B",1899,"1,099,000"
"46 KOSSUTH PLACE, 2A",1899,"604,466"
"46 KOSSUTH PLACE, 2B",1899,"1,150,000"
"46 KOSSUTH PLACE, 2C",1899,"942,000"
"46 KOSSUTH PLACE, 3A",1899,"635,000"
"46 KOSSUTH PLACE, 3C",1899,"975,000"
"46 KOSSUTH PLACE, 4A",1899,"650,000"
"64 STANHOPE ST, 1",2019,"977,500"
"245 HARMAN STREET, 1R",2005,"430,068"
"923 BUSHWICK AVENUE, 1B",1925,"865,513"
"923 BUSHWICK AVENUE, 2A",1925,"915,407"
"923 BUSHWICK AVENUE, 2B",1925,"681,159"
"923 BUSHWICK AVENUE, 3A",1925,"868,500"
"923 BUSHWICK AVENUE, 3B",1925,"635,000"
"923 BUSHWICK AVENUE, 4B",1925,"670,000"
"1160 GREENE AVENUE, 1",2021,"1,120,075"
"1160 GREENE AVENUE, 2A",2021,"539,673"
"1160 GREENE AVENUE, 3A",2021,"575,000"
"1160 GREENE AVENUE, 3B",2021,"598,000"
"1160 GREENE AVENUE, 4A",2021,"903,167"
"1160 GREENE AVENUE, 4B",2021,"620,000"
"68 GROVE STREET, 2R",1931,"1,205,000"
"959 MADISON STREET, 2A",1994,"829,874"
"959 MADISON STREET, 2B",1994,"1,100,000"
"959 MADISON STREET, 3B",1994,"1,100,000"
"959 MADISON STREET, 4A",1994,"910,000"
"959 MADISON STREET, 5A",1994,"715,000"
"959 MADISON STREET, 5B",1994,"825,000"
"1110 MADISON STREET, 1A",2019,0
"215 CORNELIA STREET, 4A",2019,"549,855"
"1390 PUTNAM AVE, 4R",2019,"590,000"
"1257 JEFFERSON AVENUE, 3B",2017,"825,000"
"1257 JEFFERSON AVE, 4A",2017,"905,000"
"1066 JEFFERSON AVENUE, 1B",2020,"955,000"
"1066 JEFFERSON AVENUE, 2C",2020,"795,000"
"1066 JEFFERSON AVENUE, 3B",2020,"507,500"
"1066 JEFFERSON AVENUE, 3C",2020,"760,000"
"1066 JEFFERSON AVENUE, 4A",2020,"995,000"
"1066 JEFFERSON AVENUE, 4B",2020,0
"1066 JEFFERSON AVENUE, 4B",2020,"785,000"
"1066 JEFFERSON AVENUE, S2",2020,"367,500"
"1066 JEFFERSON AVENUE, S4",2020,"507,500"
"1066 JEFFERSON AVENUE, S5",2020,"760,000"
"1060 JEFFERSON AVENUE, 1A",2021,"675,000"
"1060 JEFFERSON AVENUE, 1B",2021,"499,000"
"1060 JEFFERSON AVENUE, 2A",2021,"825,000"
"1060 JEFFERSON AVENUE, 2B",2021,"525,000"
"1060 JEFFERSON AVENUE, 3B",2021,"482,000"
"1060 JEFFERSON AVENUE, 3C",2021,"349,830"
"1060 JEFFERSON AVENUE, 4B",2021,"535,000"
"1060 JEFFERSON AVENUE, 4C",2021,"540,000"
"1060 JEFFERSON AVENUE, 5A",2021,"1,095,000"
"151 WEIRFIELD STREET, 1R",1910,"451,000"
"1129 HALSEY STREET, 2",2019,"750,000"
"1109 HALSEY STREET, 2A",1920,"795,000"
"137 ELDERT STREET, 4",2015,"770,000"
"245 SCHAEFER, 2D",2017,"640,000"
"1265 DECATUR ST, 3L",,0
"627 WILSON AVENUE, 2",1907,"660,000"
"309 COOPER STREET, PH",2014,"670,000"
"305 COOPER STREET, 1A",2014,0
2501 FULTON STREET,1927,10
2501 FULTON STREET,1927,500
970 FLUSHING AVENUE,1931,"1,600,000"
440 KNICKERBOCKER AVENUE,1950,0
1327 BROADWAY,1931,"5,600,000"
1565 BROADWAY,1925,0
20 SUMNER PLACE,2009,"3,000,000"
1461 BROADWAY,1915,"2,800,000"
769-781 CHAUNCEY STREET,1931,"5,900,000"
82 GEORGE STREET,1931,0
N/A BUSHWICK AVENUE,,"6,975,000"
59 DESALES PLACE,,0
40 MELROSE STREET,1931,10
120 EVERGREEN AVENUE,1931,"3,065"
198 STANHOPE STREET,1931,"1,770,000"
147 STANHOPE STREET,2022,0
147 STANHOPE STREET,2022,"4,700,000"
1149-1155 MYRTLE AVENUE,1931,0
48 CEDAR STREET,1998,"70,000,000"
962 BUSHWICK AVENUE,1931,"25,000"
1243 BUSHWICK AVENUE,1890,0
831-833 KNICKERBOCKER AVENUE,1931,"1,700,000"
"511 EVERGREEN AVENUE, P1",2019,"533,000"
"282 ELDERT STREET, 4B",2018,0
"301 COVERT STREET, P5",2017,"535,000"
595 EAST 92ND STREET,1940,0
580 EAST 95TH STREET,1920,0
672 EAST 92ND STREET,1930,0
646 EAST 93RD STREET,1945,"485,000"
256 EAST 86TH STREET,1945,"595,000"
257 DORSET STREET,1945,"615,000"
243 DORSET STREET,1940,"630,000"
143 BRANTON STREET,1940,"400,000"
251 EAST 86TH STREET,1945,0
8710 AVENUE B,1925,0
572 EAST 86TH STREET,1960,0
669 EAST 78 ST,1960,"550,000"
628 EAST 79 STREET,1960,"700,000"
638 EAST 79TH STREET,1960,"607,500"
614 EAST 87TH STREET,2000,0
8717 GLENWOOD ROAD,1965,0
8811 BAY VIEW AVENUE,1935,0
731 EAST 85TH STREET,1940,0
945 EAST 87TH STREET,1920,"689,000"
1025 EAST 84TH,1920,"637,000"
46 PAERDEGAT 4TH STREET,1960,0
8121 AVENUE L,1965,"625,000"
1146 EAST 82ND STREET,1965,"665,000"
1109 EAST 82ND STREET,1960,0
18 PAERDEGAT 6 STREET,1965,"600,000"
1226 EAST 87TH STREET,1930,"605,000"
1219 EAST 87TH STREET,1899,"620,000"
1280 EAST 88TH,1925,"640,000"
1231 EAST 88,1925,"655,000"
7 PAERDEGAT 13 STREET,1965,"605,475"
8704 AVENUE M,1960,"1,038,288"
745 EAST 93RD ST,1955,"710,000"
713 EAST 93 STREET,1950,"635,000"
913 EAST 94TH STREET,1925,0
9306 FOSTER AVE,1920,"539,000"
952 EAST 94TH STREET,1925,0
982 EAST 94 STREET,1920,"645,000"
954 EAST 95TH STREET,1925,0
975 EAST 96TH STREET,1925,0
1055 EAST 93RD STREET,1925,"457,536"
1055 EAST 93RD STREET,1925,"500,000"
650 EAST 105 STREET,1925,"325,000"
9016 GLENWOOD ROAD,1920,"650,000"
26 DURLAND PLACE,1920,"440,000"
9223 FLATLANDS AVE,1915,0
9207 FLATLANDS AVENUE,1920,"685,000"
9511 FLATLANDS AVENUE,1930,"440,000"
9121 AVENUE J,1960,"535,500"
93 SKIDMORE LANE,1920,0
1204 EAST 94TH STREET,1920,0
1212 EAST 94TH STREET,1930,"490,000"
1207 E 94TH STREET,1920,0
1184 EAST 95TH STREET,1915,0
981 EAST 105TH STREET,1960,0
975 EAST 105 STREET,1960,1
971 EAST 105 STREET,1960,"605,000"
969 EAST 105TH STREET,1960,"695,000"
953 E 105TH ST,1960,0
945 EAST 105TH STREET,1960,"450,000"
947 EAST 105 STREET,1960,0
1302 EAST 91 STREET,1955,"690,000"
1302 EAST 91ST STREET,1955,"525,000"
1320 EAST 92ND ST,1925,0
9303 AVENUE K,1930,10
9303 AVENUE K,1930,"519,200"
9923 AVENUE K,1950,0
1387 EAST 91ST STREET,1920,"700,000"
9216 AVENUE K,1915,10
1392 EAST 93RD STREET,1950,"615,000"
1384 EAST 94TH STREET,1925,"575,000"
1333 E 95TH STREET,2002,"726,477"
1356 EAST 96TH STREET,1920,500
1366 E 96 STREET,1920,0
1378 EAST 96TH STREET,1925,0
10583 FLATLANDS 3 STREET,1965,0
105-37 FLATLANDS 3 STREET,1965,"750,000"
10544 FLATLANDS 4 STREET,1960,1
10553 AVENUE L,1960,"720,000"
9800 AVENUE L,1925,"630,000"
9802 AVENUE L,1925,"307,699"
9802 AVENUE L,1925,"397,533"
1274 EAST 99TH STREET,1960,0
1255 EAST 102TH STREET,1955,"605,000"
1267 EAST 103 STREET,1960,0
1229 EAST 103 STREET,1960,"560,000"
1264 EAST 104 STREET,1960,0
1215 EAST 104 STREET,1960,0
105-28 AVENUE L,1960,0
10831 AVENUE N,1965,"550,000"
10824 FLATLANDS 8 STREET,1965,0
1540 CANARSIE ROAD,1920,"720,000"
8 MATTHEWS PLACE,1920,0
1344 EAST 101 STREET,1955,0
10019 AVENUE N,1915,0
1331 EAST 101ST STREET,1960,"670,000"
1370 EAST 103 STREET,1955,0
1375 EAST 103 STREET,1955,0
1331 E 103RD STREET,1955,0
1323 EAST 103RD STREET,1955,0
1354 EAST 105TH STREET,1955,0
10583 FLATLANDS 8 STREET,1960,0
105-51 FLATLANDS 8 STREET,1960,0
1603 EAST 91 ST,1925,0
1614 EAST 96TH STREET,1930,10
1614 EAST 96TH STREET,1930,"470,000"
1614 EAST 96TH STREET,1930,"505,884"
1651 EAST 96TH STREET,1930,"435,000"
1416 EAST 104 STREET,1960,0
1477 EAST 104 STREET,1960,"600,000"
1417 EAST 104TH STREET,1960,"590,150"
10551 FLATLANDS 10TH STREET,1960,"825,000"
1789 EAST 93RD STREET,1960,"710,000"
1077 THOMAS S BOYLAND ST,1925,0
1073 THOMAS S BOYLAND ST,1925,0
957 RALPH AVENUE,1940,0
27 EAST 89TH STREET,1910,0
615 REMSEN AVENUE,1945,0
605 EAST 91ST STREET,1930,10
1097 RALPH AVENUE,1945,0
172 EAST 87TH STREET,1935,"220,000"
133 EAST 87TH STREET,1940,0
120 EAST 88TH STREET,1940,"927,642"
113 EAST 88TH STREET,2006,0
672 REMSEN AVENUE,1935,"660,000"
688 REMSEN AVE,1935,100
702 REMSEN AVENUE,1935,0
720 REMSEN AVENUE,1935,0
691 EAST 91ST STREET,1930,0
630 EAST 93RD STREET,1945,0
648 EAST 93RD ST.,1955,0
9324 AVENUE A,1945,0
9417 AVENUE B,1945,"514,241"
633 EAST 94TH STREET,1945,0
9509 AVENUE B,1945,0
634 ROCKAWAY PARKWAY,1945,"675,000"
234 DORSET STREET,1940,"665,000"
217 EAST 88TH STREET,1955,"827,000"
8806 AVENUE B,1950,10
8914 AVENUE B,1945,0
574 EAST 79TH STREET,1960,0
577 EAST 79 ST,1960,0
519 EAST 79TH STREET,1960,"950,000"
530 EAST 80TH STREET,1960,0
576 EAST 80TH STREET,1960,0
592 EAST 80TH STREET,1960,"985,000"
529 EAST 79TH STREET,1965,0
599 E. 80 STREET,1965,0
579 EAST 80TH STREET,1965,0
529 EAST 80TH STREET,1965,0
600 EAST 82ND STREET,1960,"995,000"
581 EAST 81ST STREET,1960,0
579 EAST 81ST STREET,1960,0
547 EAST 81ST STREET,1960,0
545 EAST 81ST STREET,1960,0
558 EAST 82ND STREET,1960,0
570 EAST 82ND STREET,1960,0
592 EAST 82ND STREET,1965,0
571 EAST 82ND STREET,1965,"950,000"
579 EAST 84TH STREET,1960,"810,000"
589 EAST 86TH STREET,1965,0
579 EAST 86TH STREET,1965,0
577 EAST 86TH STREET,1965,0
8724 BEDELL LN,1940,"475,000"
586 EAST 89TH STREET,1960,10
670 EAST 77TH STREET,1960,"750,000"
662 EAST 78TH,1965,0
601 E 79 ST,1970,"590,000"
648 EAST 80TH STREET,1970,"775,000"
611 EAST 80TH STREET,1960,"981,500"
644 EAST 81ST STREET,1960,0
659 EAST 81ST STREET,1960,0
625 EAST 81ST STREET,1960,0
8305 GLENWOOD ROAD,1940,0
619 E 83RD STREET,1960,"603,750"
619 EAST 83RD STREET,1960,"631,543"
651 EAST 84TH STREET,1930,0
641 EAST 84TH STREET,1960,0
621 EAST 84TH STREET,1960,"970,000"
662 EAST 85 STREET,1925,"115,596"
651 EAST 85TH STREET,1940,"745,000"
636 EAST 86TH STREET,1975,"997,000"
650 EAST 87TH STREET,1920,"995,000"
613 E 87TH STREET,2022,0
N/A EAST 87TH STREET,2022,"1,201,535"
8706 FARRAGUT ROAD,1960,0
1056 REMSEN AVENUE,1930,0
721 EAST 78TH STREET,1960,"950,000"
708 EAST 79TH STREET,1960,0
747 EAST 79TH STREET,1960,0
727 EAST 79TH ST,1960,0
715 EAST 79TH STREET,1960,0
720 EAST 80TH STREET,1960,0
750 EAST 80TH STREET,1960,0
709 EAST 80TH STREET,1960,0
707 EAST 80TH STREET,1960,0
744 EAST 81ST STREET,1960,"787,000"
756 EAST 81 STREET,1960,"810,000"
760 EAST 81ST STREET,1960,0
729 EAST 81ST STREET,1960,0
735 EAST 82ND STREET,1960,0
726 EAST 83RD ST.,1960,"726,146"
726 EAST 83RD STREET,1960,0
754 EAST 83 STREET,1960,0
8316 GLENWOOD ROAD,1960,0
8422 GLENWOOD ROAD,1925,"650,000"
710 EAST 86TH STREET,1960,"342,952"
760 EAST 86 STREET,1935,0
8720 GLENWOOD ROAD,1920,0
742 EAST 89TH STREET,1930,0
922 EAST 77TH STREET,1960,0
928 E 77TH STREET,1960,"710,000"
978 E. 77TH STREET,1965,"699,000"
952 EAST 78TH STREET,1960,"747,300"
960 EAST 78TH STREET,1960,"475,000"
993 EAST 78TH STREET,1960,0
991 EAST 78TH STREET,1960,0
971 EAST 78TH STREET,1960,0
972 EAST 79TH STREET,1960,0
982 EAST 80TH STREET,1960,"850,000"
926 EAST 80TH STREET,1960,"820,000"
932 EAST 80TH ST,1960,0
936 EAST 80TH STREET,1960,0
944 EAST 80TH STREET,1960,"999,000"
974 EAST 80TH STREET,1960,"990,000"
976 EAST 80TH STREET,1960,"504,463"
962 EAST 81ST STREET,1975,10
978 EAST 81ST STREET,1975,500
975 EAST 82ND STREET,1960,0
960 EAST 84TH STREET,1930,0
921 EAST 84TH STREET,2006,0
935 EAST 86TH,1960,0
925 EAST 87TH STREET,1920,"670,000"
918 EAST 89TH STREET,1930,0
978 EAST 89TH STREET,1960,0
919 EAST 89TH STREET,1940,"350,000"
8918 FLATLANDS AVENUE,1935,10
6 PAERDEGAT 3 STREET,1965,"750,000"
6 PAERDEGAT 3 STREET,1965,"920,000"
8020 AVENUE J,1965,0
1026 E.81 STREET,1965,0
1038 EAST 82ND STREET,1960,0
1069 EAST 84TH STREET,1965,"950,000"
1067 EAST 84 STREET,1965,0
1060 EAST 85TH STREET,1965,0
1068 EAST 85TH STREET,1965,"680,500"
1072 EAST 86TH STREET,1970,"920,000"
1044 EAST 86 STREET,2000,"915,000"
1044 EAST 86TH STREET,2000,0
8910 AVENUE J,1960,"850,000"
1184 EAST 83RD STREET,1960,0
1130 E 83RD STREET,1960,0
1171 EAST 83RD STREET,1955,0
1147 EAST 83RD STREET,1955,0
1105 EAST 83RD STREET,1955,0
1153 EAST 84TH STREET,1960,"700,000"
1120 EAST 85 STREET,1960,0
1169 EAST 86TH STREET,1950,0
1159 EAST 86TH STREET,1950,10
1118 EAST 87 STREET,1997,"1,107,000"
1118 EAST 87TH STREET,1997,0
1134 E 87TH STREET,1960,0
1148 EAST 87TH STREET,1960,0
8715 AVE L,1920,0
8701 AVENUE L,1920,0
1115 EAST 88TH STREET,1960,0
1122 EAST 89TH STREET,1960,10
1122 EAST 89TH STREET,1960,500
1384 REMSEN AVENUE,1960,0
38 PAERDEGAT 9 STREET,1965,10
1239 EAST 82ND STREET,1955,"750,000"
1235 EAST 82ND STREET,1955,0
1244 EAST 83RD STREET,1955,0
1261 EAST 83RD STREET,1940,"90,000"
1243 E 83 ST,1940,0
1233 E 83,1940,0
1206 EAST 84TH STREET,1940,0
1218 EAST 84TH STREET,1940,"1,021,000"
1235 EAST 84TH STREET,1960,"935,000"
1216 EAST 85TH STREET,1960,"910,000"
1269 EAST 85TH STREET,1955,"993,000"
1235 EAST 85TH STREET,1955,0
1211 EAST 85TH STREET,1960,0
1266 EAST 86TH STREET,1955,"895,000"
1281 EAST 86TH STREET,1955,0
1247 EAST 86TH STREET,1955,"990,000"
1241 EAST 86TH STREET,1955,0
1222 EAST 89TH STREET,1930,"800,000"
1528 REMSEN AVENUE,1920,"700,000"
38 PAERDEGAT 12 STREET,1965,0
1308 EAST 85TH STREET,1955,"600,000"
1316 EAST 86TH ST,1955,"795,000"
1332 EAST 86TH STREET,1955,"131,235"
1362 EAST 86TH STREET,1955,0
8517 AVENUE N,1960,"300,000"
8501 AVENUE N,1960,0
8611 AVENUE N,1955,0
1369 EAST 86TH STREET,1955,500
1369 EAST 86TH STREET,1955,"850,000"
1375 EAST 88TH STREET,1960,0
1361 EAST 88TH STREET,1960,0
1351 EAST 88TH STREET,1960,0
1364 EAST 89TH STREET,1960,0
1335 EAST 89TH STREET,1960,"650,000"
1315 EAST 89TH STREET,1960,"405,000"
1612 REMSEN AVENUE,1960,0
1436 E 85TH STREET,1960,"975,000"
1452 EAST 85TH STREET,1960,0
1475 EAST 84TH STREET,1960,"777,052"
8524 AVENUE N,1960,"825,000"
1440 EAST 86TH STREET,1955,0
1431 EAST 86TH STREET,1960,0
1419 EAST 86TH STREET,1960,0
1446 EAST 88TH STREET,1960,"575,311"
1453 EAST 87TH,1960,"775,000"
1441 EAST 87TH STREET,1960,"855,000"
1465 EAST 89TH STREET,1960,0
1654 REMSEN AVENUE,1955,0
1698 REMSEN AVENUE,1955,"886,000"
1476 E 84TH ST,1960,0
781 REMSEN AVENUE,1955,"20,000"
779 REMSEN AVE,1955,"999,000"
747 REMSEN AVE,1955,0
729 EAST 93RD STREET,1930,"910,000"
705 EAST 93RD STREET,1950,"551,000"
728 EAST 94TH STREET,1950,0
736 EAST 94TH STREET,1950,"650,000"
740 EAST 94TH STREET,1950,"870,000"
9404 AVENUE B,1940,"867,000"
724 EAST 95TH STREET,1960,0
728 E 95TH STREET,1960,10
730 EAST 95TH STREET,1960,"925,000"
738 EAST 95TH STREET,1960,"1,000"
9524 AVENUE B,1989,0
701 ROCKAWAY PARKWAY,1960,"960,000"
684 EAST 98TH STREET,1925,0
938 EAST 92ND STREET,1930,"647,000"
9022 KRIER PLACE,1930,0
867 EAST 93RD STREET,1970,"760,000"
886 EAST 94TH STREET,1960,"940,000"
849 EAST 95TH STREET,1940,0
9031 FARRAGUT ROAD,1965,"990,000"
9025 FARRAGUT ROAD,1965,"885,000"
982 EAST 92ND STREET,1920,0
951 E 92ND ST,1950,"630,000"
968 EAST 93RD STREET,1950,0
973 EAST 94,1960,"998,000"
964 EAST 95TH STREET,1925,"675,000"
982 EAST 95TH STREET,1910,"710,000"
973 EAST 95TH STREET,1930,0
9523 FARRAGUT RD,1920,0
979 EAST 96TH STREET,1930,"200,000"
921 EAST 96TH STREET,1965,"53,744"
518 EAST 99TH STREET,1920,"275,500"
903 EAST 98TH STREET,1950,0
1082 E 92 STREET,2016,"95,000"
1090 EAST 92ND STREET,1931,0
9225 GLENWOOD ROAD,1930,0
1068 EAST 94 STREET,1925,0
1050 E 96 STREET,1925,0
1026 EAST 96TH STREET,1999,"787,500"
1360 ROCKAWAY PARKWAY,1935,"1,200,000"
9728 FARRAGUT ROAD,1930,"675,000"
615 EAST 102 STREET,1999,"940,000"
665 EAST 103RD,2001,0
1177 REMSEN AVENUE,1955,"760,000"
1116 EAST 92ND STREET,1940,"899,000"
23 DURLAND PLACE,2005,0
95 CONKLIN AVENUE,1920,"900,000"
1109 EAST 95TH STREET,2002,1
158 CONKLIN AVENUE,1965,0
181 CONKLIN AVENUE,1930,0
9821 FLATLANDS AVENUE,1935,0
9802 GLENWOOD ROAD,1915,"997,500"
10113 FLATLANDS AVENUE,1955,"618,693"
739 EAST 102 STREET,1955,0
731 EAST 102ND STREET,1955,"800,000"
1213 EAST 91ST STREET,1999,0
9306 FLATLANDS AVENUE,1920,0
1198 EAST 96TH STREET,1920,"855,000"
1200 EAST 98TH STREET,1955,100
9730 FLATLANDS AVENUE,1920,"650,000"
957 EAST 99TH STREET,1960,0
969 EAST 100TH STREET,1955,0
959 EAST 100 STREET,1955,0
943 EAST 100 STREET,1955,0
944 E 101 ST,1955,0
950 EAST 101 STREET,1955,0
954 EAST 101ST STREET,1960,"880,000"
10112 FLATLANDS AVENUE,1960,"775,000"
948 EAST 102ND STREET,1960,"960,000"
102-15 AVENUE J,1955,10
926 EAST 103RD STREET,1960,"960,000"
954 EAST 104 STREET,1930,"790,000"
917 E. 104TH STREET,1930,0
104-02 FLATLANDS AVENUE,1930,0
928 EAST 106 STREET,1965,"425,000"
928 EAST 106 STREET,1965,"997,500"
934 EAST 106 STREET,1965,0
982 EAST 106TH STREET,1960,"868,314"
959 E. 106TH,1960,0
10620 FLATLANDS AVENUE,1901,0
964 EAST 107TH ST,1960,0
964 EAST 108 STREET,1955,0
1254 EAST 91ST STREET,1960,"965,000"
1251 EAST 91ST STREET,1960,0
1307 EAST 92ND STREET,1960,"895,000"
1288 EAST 93RD STREET,1960,0
1317 EAST 94TH STREET,1960,"950,000"
9410 AVENUE J,1960,0
1318 EAST 95TH STREET,1925,"680,000"
1244 EAST 98TH ST,1960,"450,000"
1244 EAST 98TH STREET,1960,"850,000"
1250 EAST 98TH STREET,1960,0
1270 EAST 98TH STREET,1960,"975,000"
1263 EAST 98TH STREET,1955,"819,000"
1038 EAST 99TH STREET,1955,0
1051 EAST 99 STREET,1960,"780,000"
1045 E 99TH STREET,1960,0
1016 EAST 100 STREET,1960,0
1034 EAST 100 STREET,1960,"243,750"
1034 EAST 100 STREET,1960,"984,000"
10105 AVENUE K,1955,0
10223 AVENUE K,1955,"670,000"
10215 AVENUE K,1955,"825,000"
1031 EAST 102 STREET,1955,0
1016 EAST 103RD STREET,1955,0
1018 EAST 103 STREET,1955,0
1060 EAST 103RD STREET,1955,"744,479"
1009 EAST 103 STREET,1955,0
1003 EAST 104TH STREET,1955,0
1010 EAST 105 STREET,1955,0
10522 FLATLANDS 1ST STREET,1960,"675,000"
10540 FLATLANDS 1 STREET,1960,"775,000"
10515 FLATLANDS 2 STREET,1960,"670,000"
504 LOUISIANA AVENUE,1994,0
518 LOUISIANA AVENUE,1994,"665,355"
1427 REMSEN AVE,1920,10
1427 REMSEN AVENUE,1920,"577,499"
1395 EAST 91ST STREET,1960,"920,000"
1373 EAST 91ST STREET,2022,"1,221,900"
1367 EAST 91ST STREET,2022,"1,275,000"
1370 EAST 92ND STREET,2022,"1,150,000"
1372 EAST 92ND STREET,2022,"1,150,000"
1376 EAST 92ND STREET,2022,"1,150,000"
1398 EAST 92ND STREET,1931,"430,000"
1372 EAST 93RD STREET,1925,"715,000"
1400 EAST 93RD STREET,1950,0
1401 EAST 93RD STREET,1955,10
1351 EAST 94TH STREET,1920,0
1383 EAST 95TH STREET,1920,"820,000"
9514 AVENUE K,1920,"494,000"
9514 AVENUE K,1920,"900,000"
1692 ROCKAWAY PARKWAY,1920,0
9727 AVENUE L,1925,"960,000"
1725 ROCKAWAY PARKWAY,1925,"320,000"
1721 ROCKAWAY PARKWAY,1925,0
1719 ROCKAWAY PARKWAY,1925,"499,000"
9816 AVENUE K,1955,"25,000"
9816 AVENUE K,1955,"175,000"
9816 AVENUE K,1955,"460,000"
1122 EAST 99TH STREET,1955,"489,000"
1133 EAST 99TH STREET,1955,"485,500"
1133 EAST 99TH STREET,1955,"720,000"
1115 EAST 99TH STREET,1955,0
1169 EAST 101ST STREET,1955,"749,000"
1161 EAST 101 STREET,1955,"1,109,610"
1169 E 102ND,1955,0
10202 AVENUE K,1955,"340,431"
10216 AVENUE K,1955,"770,000"
1142 EAST 103 STREET,1955,"975,000"
1161 EAST 103RD STREET,1960,"400,000"
103-02 AVENUE K,1960,0
103-16 AVENUE K,1960,"810,000"
1119 EAST 104 STREET,1960,0
104-08 AVENUE K,1960,"755,000"
10424 AVENUE K,1960,"720,000"
1132 EAST 105 STREET,1960,"800,000"
