ADDRESS,YEAR BUILT, SALE PRICE 
76 BAY 26TH STREET,1925,"2,388,000"
77 BAY 26TH STREET,1901,0
8660 21ST AVENUE,1992,"2,150,000"
8674 21 AVENUE,1901,0
136 BAY 10TH STREET,2021,"2,341,975"
138 BAY 10TH STREET,2021,"2,260,515"
150 BAY 11TH STREET,1925,"1,750,000"
145 BAY 11TH STREET,1905,0
145 BAY 11TH STREET,1905,"630,000"
N/A BAY 11TH STREET,1905,0
8751 16TH AVENUE,1925,"1,638,000"
122 BAY 13TH STREET,1920,"550,500"
139 BAY 13TH STREET,1965,"1,800,000"
8724 19TH AVENUE,1920,"1,200,000"
113 BAY 25TH STREET,1920,0
113 BAY 25TH STREET,1920,"1,860,000"
129 BAY 26 STREET,1930,0
129 BAY 26 STREET,1930,"1,398,000"
117 BAY 26TH STREET,1925,"1,870,000"
112 BAY 29TH STREET,1910,0
134 BAY 29TH STREET,2019,0
8820 15TH AVENUE,1950,0
189 BAY 11TH STREET,1910,0
8798 16TH AVENUE,1920,0
8801 16TH AVENUE,1970,0
236 BAY 13TH STREET,1992,"1,680,000"
1635 CROPSEY AVENUE,1930,"380,000"
8784 17TH AVENUE,1920,0
8814 BAY 16TH STREET,1920,"1,580,000"
8820 BAY 16 STREET,1920,"1,630,000"
186 BAY 17TH STREET,1899,0
192 BAY 19TH STREET,1920,0
193 BAY 23RD STREET,1910,"1,400,888"
8784 20TH AVENUE,1960,"1,660,000"
206 BAY 26TH STREET,1950,0
8771 21ST AVENUE,1910,0
194 BAY 28TH STREET,1975,0
173 BAY 28TH STREET,1910,0
8788 BAY PARKWAY,1970,"200,000"
"8659 BAY 16TH STREET, 2C",,0
"1839 BENSON AVENUE, 1",1989,"800,000"
"70 BAY 20TH STREET, 1A",2006,0
"8730 BAY 16TH STREET, 3C",2007,"750,000"
"1752 BENSON AVENUE, 1A",,0
"8746 18TH AVENUE, 2B",2007,"590,000"
"8750 18TH AVENUE, 1D",2007,"739,000"
"165 BAY 20TH STREET, 2C",,0
"8707 19TH AVENUE, 2F",2018,"940,000"
"122 BAY 26TH STREET, 1A",2022,"845,148"
"122 BAY 26TH STREET, 1B",2022,"799,326"
"122 BAY 26TH STREET, 1C",2022,"806,291"
"122 BAY 26TH STREET, 1D",2022,"875,921"
"122 BAY 26TH STREET, 2A",2022,"761,651"
"122 BAY 26TH STREET, 2B",2022,"771,093"
"122 BAY 26TH STREET, 2C",2022,"748,414"
"122 BAY 26TH STREET, 2D",2022,"782,072"
"122 BAY 26TH STREET, 3A",2022,"763,688"
"122 BAY 26TH STREET, 3B",2022,"769,000"
"122 BAY 26TH STREET, 3C",2022,"782,072"
"122 BAY 26TH STREET, 3D",2022,"700,556"
"2058 BENSON AVENUE, 1B",2004,"855,000"
"2102 BENSON AVE, 2A",,"718,000"
"2106 BENSON AVENUE, 1B",,1
"2106 BENSON AVENUE, 2B",,"680,000"
"2106 BENSON AVENUE, 3B",,0
"2106 BENSON AVENUE, 3B",,"680,000"
"210 BAY 7TH STREET, 1C",2021,0
"8803 BAY 16TH STREET, 2C",2007,"630,000"
"188 BAY 17TH STREET, 3E",2007,"713,000"
"198 BAY 17TH STREET, 1H",2007,"780,000"
"194 BAY 29TH STREET, 3A",2001,"650,000"
"174 BAY 29TH STREET, 2B",,"449,000"
"206 BAY 29TH STREET, 1B",2018,"654,531"
"206 BAY 29TH STREET, 2A",2018,"640,000"
81 BAY 19TH STREET,1947,0
"18 BAY 22ND STREET, 4",1923,0
67 BAY 22ND STREET,1931,"1,970,000"
118-120 BAY 11TH STREET,1925,0
"1828 BENSON AVENUE, 4",1910,"1,875,000"
150 BAY 22ND STREET,1925,"1,150,000"
"140 BAY 26TH STREET, 6",1925,0
144 BAY 26TH STREET,1919,"1,600,000"
"147 BAY 26TH STREET, 6",1922,0
"54 BAY 29TH STREET, B7",1926,0
"54 BAY 29TH STREET, B7",1926,"200,000"
"141 BAY 20TH STREET, 3",1931,"600,000"
"139 BAY 20TH STREET, 3",1931,"530,000"
"1259 SHORE PARKWAY, 1D",1949,"380,000"
"1259 SHORE PARKWAY, 3B",1949,"249,000"
"242 BAY 17, 2B",1949,"288,000"
"8889 BAY 16TH STREET, 3C",1949,"102,000"
"8909 BAY 16TH STREET, C3",1949,"330,000"
"260 BAY 19TH STREET, B",1949,"270,000"
"266 BAY 19TH STREET, A",1949,"300,000"
"272 BAY 19TH STREET, A",1949,"345,000"
"251 BAY 19, B",1946,"325,000"
"1009 SHORE PARKWAY, 1B",1950,"235,000"
"1013 SHORE PARKWAY, 1B",1950,0
"351 BAY 8TH STREET, 1B",1950,"285,000"
"367 BAY 8TH STREET, 2B",1950,"331,007"
"1029 SHORE PARKWAY, 1B",1950,"355,000"
"1037 SHORE PARKWAY, 1B",1950,"340,000"
"1057 SHORE PARKWAY, 2B",1950,"319,000"
"1061 SHORE PARKWAY, A",1950,"270,000"
"1065 SHORE PARKWAY, 2B",1950,"345,000"
"1093 SHORE PARKWAY, 2B",1950,"327,995"
"1511 INDEPENDENCE AVE, 2B",1950,0
"1513 INDEPENDENCE AVENUE, #2B",1950,"412,000"
"8977 15TH AVENUE, 1B",1950,"336,000"
"30 BAY 29TH STREET, 1K",1960,"350,000"
"30 BAY 29TH STREET, 3D",1960,"440,000"
"30 BAY 29TH STREET, 3E",1960,"442,500"
"30 BAY 29TH STREET, 4C",1960,0
"8814 BAY PARKWAY, 1-C",1928,"210,000"
"98 BAY 20 ST, 3A",2012,10
"182 BAY 22ND STREET, 4D",,0
